#{"t_start": 1770104221.1374905, "env_id": "None"}
r,l,t
0.443079,2969,12.434795
-0.693722,2969,23.477962
0.142302,2969,36.792112
1.496301,2969,47.771945
1.077898,2969,61.10555
-0.557794,2969,72.101491
0.495787,2969,85.418877
0.391305,2969,96.443024
-0.088372,2969,109.847807
0.513464,2969,120.828736
-0.287241,2969,131.834025
0.039727,2969,145.22279
-1.252732,2969,156.18988
0.125055,2969,169.5466
0.187346,2969,180.57086
-0.293795,2969,193.933374
-0.170425,2969,204.951525
0.414875,2969,218.256468
1.759053,2969,229.302668
-0.298586,2969,240.444101
-0.230737,2969,254.04526
0.843401,2969,265.226999
2.318732,2969,278.837596
1.540797,2969,290.009719
0.126039,2969,303.613691
0.735745,2969,314.843946
-0.550685,2969,328.500765
-0.514995,2969,339.769039
0.014974,2969,353.41152
2.026932,2969,364.56547
0.377735,2969,375.866894
1.294404,2969,389.51168
1.444481,2969,400.668656
0.508213,2969,414.252111
-0.36313,2969,425.386499
-0.334723,2969,439.083164
-0.657227,2969,450.212659
1.463145,2969,463.727578
-0.514532,2969,474.856947
0.512028,2969,486.282438
1.213881,2969,499.882738
-0.704387,2969,511.069821
-0.237632,2969,524.639871
-1.577456,2969,535.810724
0.587559,2969,549.424862
0.68606,2969,560.6323
-0.036251,2969,574.161071
-0.574953,2969,585.399631
1.077352,2969,598.974583
-0.60258,2969,610.154913
0.781544,2969,621.379063
-0.143867,2969,634.892571
-0.490415,2969,646.177935
0.193707,2969,659.668027
-0.553193,2969,670.807545
-0.937485,2969,684.4024
0.887433,2969,695.532511
0.158924,2969,709.080894
1.203108,2969,720.255788
0.670761,2969,731.536868
0.143633,2969,745.24929
0.080276,2969,756.413669
0.142206,2969,770.022354
-0.397615,2969,781.223777
-0.805747,2969,794.775268
-0.66426,2969,806.039596
-0.192349,2969,819.806843
